block_name,direction,calibrators,observation_start _time,level1_sort,level1_notes
1675021905,setting,HydraA and PictorA,2023-01-29 19:52:57,moderate,none
1675210948,setting,3C273 and 3C273,2023-02-01 0:24:35,moderate,none
1675623808,rising,HydraA and PictorA,2023-02-05 19:04:30,bad,none
1675643846,setting,3C273 and 3C273,2023-02-06 0:38:15,bad,none
1675816512,setting,3C273 and 3C273,2023-02-08 0:36:36,good,none
1676313206,rising,HydraA and PictorA,2023-02-13 18:36:01,bad,none
1676657789,rising,HydraA and PictorA,2023-02-17 18:17:28,good,none
1677002481,rising,HydraA and PictorA,2023-02-21 18:03:51,moderate,none
1677020482,setting,3C273 and 3C273,2023-02-21 23:01:54,bad,none
1677174749,rising,HydraA and PictorA,2023-02-23 17:53:29,bad,none
1677195529,setting,3C273 and 3C273,2023-02-23 23:39:34,bad,none
1677777992,setting,HydraA and PictorA,2023-03-02 17:29:07,moderate,none
1677795989,setting,3C273 and 3C273,2023-03-02 22:28:31,bad,none
1678122565,rising,HydraA and PictorA,2023-03-06 17:11:57,moderate,none
1678295187,rising,HydraA and PictorA,2023-03-08 17:07:37,bad,none
1678381591,rising,HydraA and PictorA,2023-03-09 17:07:35,bad,none
1678467685,rising,HydraA and PictorA,2023-03-10 17:02:24,bad,none
1678726283,rising,HydraA and PictorA,2023-03-13 16:54:01,moderate,none
1678743988,setting,3C273 and 3C273,2023-03-13 21:47:03,moderate,none
1678899080,rising,HydraA and PictorA,2023-03-15 16:52:22,moderate,none
1679605292,setting,3C273 and 3C275,2023-03-23 21:03:34,bad,none
1682448988,setting,3C273 and 3C276,2023-04-25 18:58:40,bad,none
1684087370,setting,3C273 and 3C277,2023-05-14 18:05:04,bad,none
